timestamp,location_id,traffic_volume,avg_vehicle_speed,vehicle_count_cars,vehicle_count_trucks,vehicle_count_bikes,weather_condition,temperature,humidity,accident_reported,signal_status
01-01-2024 00:00,4,504,53.12416188,142,24,44,Cloudy,33.33438748,36.39069822,0,Red
01-01-2024 00:01,5,209,44.94785004,862,50,23,Cloudy,17.92683047,37.64092658,0,Green
01-01-2024 00:02,3,572,63.179229,317,12,10,Windy,33.48337539,84.26261002,1,Red
01-01-2024 00:03,5,699,42.26969689,709,43,21,Sunny,19.21294145,61.55097818,0,Yellow
01-01-2024 00:04,5,639,72.1857906,594,34,14,Cloudy,11.34924404,77.49450578,0,Red
01-01-2024 00:05,2,126,63.82978166,503,54,9,Foggy,29.07423472,36.91747559,1,Red
01-01-2024 00:06,3,558,58.86279026,184,86,40,Windy,27.5877036,85.65856233,0,Red
01-01-2024 00:07,3,490,67.77443573,718,8,26,Foggy,24.94777481,79.26852549,0,Yellow
01-01-2024 00:08,3,303,65.2413821,402,1,8,Foggy,22.24734361,43.48584869,0,Yellow
01-01-2024 00:09,5,970,22.1563205,228,60,27,Cloudy,10.80413176,82.450934,0,Yellow
01-01-2024 00:10,4,819,43.68406123,758,40,0,Foggy,25.61493129,45.80656556,0,Green
01-01-2024 00:11,3,369,75.84843784,451,43,16,Sunny,20.42086538,42.32039276,0,Red
01-01-2024 00:12,5,852,27.54345614,408,63,30,Foggy,24.00523507,45.85463621,0,Yellow
01-01-2024 00:13,2,312,64.22579303,579,30,43,Cloudy,20.73303355,84.5973038,1,Green
01-01-2024 00:14,4,646,78.47550868,243,46,9,Foggy,34.15140332,84.93551913,0,Yellow
01-01-2024 00:15,2,707,23.13191774,22,1,36,Windy,25.10272253,49.73974648,0,Red
01-01-2024 00:16,4,884,60.93163284,391,95,28,Windy,28.73090827,72.32605111,0,Green
01-01-2024 00:17,5,603,48.08924848,706,81,17,Windy,33.40867369,70.54471531,0,Yellow
01-01-2024 00:18,1,423,54.75051532,465,76,46,Rainy,24.78998307,78.39375793,0,Yellow
01-01-2024 00:19,4,686,25.12048019,630,68,37,Windy,10.30156295,47.79057001,0,Green
